,#filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
0,[www.shutterstock.com][0]indoor-portrait-young-beautiful-woman-260nw-678208912.jpg,3687,{},1,0,"{""name"":""rect"",""x"":24,""y"":4,""width"":54,""height"":76}",{}
1,[www.shutterstock.com][0]thinking-black-afro-american-man-260nw-674836288.jpg,4450,{},1,0,"{""name"":""rect"",""x"":28,""y"":4,""width"":49,""height"":69}",{}
2,[www.shutterstock.com][2]cheerful-darkskinned-girl-smiling-broadly-260nw-635442125.jpg,4785,{},1,0,"{""name"":""rect"",""x"":23,""y"":9,""width"":53,""height"":59}",{}
3,[www.shutterstock.com][2]portrait-beautiful-young-woman-looking-260nw-91985807.jpg,5349,{},1,0,"{""name"":""rect"",""x"":20,""y"":10,""width"":55,""height"":48}",{}
4,[www.shutterstock.com][2]portrait-elderly-serious-man-260nw-367597715.jpg,3999,{},1,0,"{""name"":""rect"",""x"":36,""y"":4,""width"":46,""height"":49}",{}
5,[www.shutterstock.com][4]portrait-smiling-young-black-woman-260nw-720115021.jpg,4881,{},1,0,"{""name"":""rect"",""x"":36,""y"":4,""width"":55,""height"":72}",{}
6,[www.shutterstock.com][5]worried-woman-gardener-gloves-standing-260nw-1549874054.jpg,9709,{},1,0,"{""name"":""rect"",""x"":39,""y"":6,""width"":25,""height"":28}",{}
7,[www.shutterstock.com][6]portrait-serious-business-man-glasses-260nw-71846869.jpg,6069,{},1,0,"{""name"":""rect"",""x"":13,""y"":6,""width"":73,""height"":66}",{}
8,[www.shutterstock.com][7]happy-60s-senior-asian-woman-260nw-69003061.jpg,5461,{},1,0,"{""name"":""rect"",""x"":25,""y"":4,""width"":57,""height"":69}",{}
9,[www.shutterstock.com][10]attractive-beautiful-positive-asian-man-260nw-720702637.jpg,5702,{},1,0,"{""name"":""rect"",""x"":42,""y"":4,""width"":42,""height"":54}",{}
10,[www.shutterstock.com][10]joyful-successful-young-european-female-260nw-716886988.jpg,4255,{},1,0,"{""name"":""rect"",""x"":19,""y"":2,""width"":49,""height"":60}",{}
11,[www.shutterstock.com][12]face-handsome-hispanic-man-looking-260nw-1557421448.jpg,4622,{},1,0,"{""name"":""rect"",""x"":27,""y"":3,""width"":52,""height"":54}",{}
12,[www.shutterstock.com][13]beautiful-half-face-woman-glasess-260nw-48517213.jpg,4007,{},1,0,"{""name"":""rect"",""x"":35,""y"":0,""width"":64,""height"":91}",{}
13,[www.shutterstock.com][16]excited-face-small-boy-260nw-59725192.jpg,5477,{},1,0,"{""name"":""rect"",""x"":29,""y"":4,""width"":58,""height"":80}",{}
14,[www.shutterstock.com][16]senior-adult-man-face-smile-260nw-617850989.jpg,4547,{},1,0,"{""name"":""rect"",""x"":26,""y"":4,""width"":47,""height"":62}",{}
15,[www.shutterstock.com][21]portrait-woman-problem-clear-skin-260nw-481178416.jpg,4782,{},1,0,"{""name"":""rect"",""x"":24,""y"":2,""width"":53,""height"":72}",{}
16,[www.shutterstock.com][23]head-shoulders-portrait-bearded-middleaged-260nw-1016723143.jpg,4001,{},1,0,"{""name"":""rect"",""x"":46,""y"":7,""width"":39,""height"":56}",{}
17,[www.shutterstock.com][23]young-black-woman-afro-hairstyle-260nw-447504466.jpg,5226,{},1,0,"{""name"":""rect"",""x"":24,""y"":5,""width"":61,""height"":63}",{}
18,[www.shutterstock.com][27]isolated-portrait-stylish-young-mixed-260nw-640007002.jpg,4903,{},1,0,"{""name"":""rect"",""x"":23,""y"":4,""width"":57,""height"":65}",{}
